Name,Time,Price,Change
bitcoin,2024-08-29 20:30,60285.46,0.39
ethereum,2024-08-29 20:30,2570.51,1.99
bnb,2024-08-29 20:30,544.66,0.49
solana,2024-08-29 20:30,143.95,-2.66
usd-coin,2024-08-29 20:30,1.000008,0.0
xrp,2024-08-29 20:30,0.573125,-1.19
dogecoin,2024-08-29 20:30,0.10045,1.15
tron,2024-08-29 20:30,0.160753,0.95
toncoin,2024-08-29 20:30,5.623005,4.84
bitcoin,2024-09-28 10:09,66182.87,2.01
ethereum,2024-09-28 10:09,2700.71,3.11
bnb,2024-09-28 10:09,607.75,1.5
solana,2024-09-28 10:09,158.43,2.17
usd-coin,2024-09-28 10:09,0.999785,-0.02
xrp,2024-09-28 10:09,0.588573,0.27
dogecoin,2024-09-28 10:09,0.126916,9.94
tron,2024-09-28 10:09,0.154731,1.49
toncoin,2024-09-28 10:09,6.092856,5.29
bitcoin,2024-09-30 08:28,65390.57,-0.5
ethereum,2024-09-30 08:28,2637.72,-1.18
bitcoin,2024-09-30 08:30,65390.57,-0.5
